metrics,author.link.@ref,author.link.@href,author.link.@type,author.name,author.id,author.uri
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57220780331?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Hammill, Dillon J.",57220780331,Author/57220780331
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 39, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/7004340228?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Arcos-Burgos, Mauricio",7004340228,Author/7004340228
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 42, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/23089970900?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Burgio, Ga̩tan",23089970900,Author/23089970900
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57200367869?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Mathur, Anukriti",57200367869,Author/57200367869
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 27, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/6701775349?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Tscharke, David C.",6701775349,Author/6701775349
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/55922501300?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Barratt, Kristen S.",55922501300,Author/55922501300
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 19, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/6603720477?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Preiss, Thomas",6603720477,Author/6603720477
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 5.263158}, {'collabType': 'No academic-corporate collaboration', 'value': 18, 'percentage': 94.73685}]}]",self,https://api.elsevier.com/analytics/scival/author/7004347903?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Easteal, Simon",7004347903,Author/7004347903
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/55091028800?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Ranjbar-Slamloo, Yadollah",55091028800,Author/55091028800
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 5.882353}, {'collabType': 'No academic-corporate collaboration', 'value': 16, 'percentage': 94.117645}]}]",self,https://api.elsevier.com/analytics/scival/author/6505898040?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Coupland, Lucy A.",6505898040,Author/6505898040
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 19, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/36952990000?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Jiang, Simon H.T.",36952990000,Author/36952990000
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 18, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/6603095096?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Mastronardi, Claudio",6603095096,Author/6603095096
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]}]",self,https://api.elsevier.com/analytics/scival/author/57204589377?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Cardinez, Chelisa",57204589377,Author/57204589377
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 9.090909}, {'collabType': 'No academic-corporate collaboration', 'value': 10, 'percentage': 90.909096}]}]",self,https://api.elsevier.com/analytics/scival/author/57193665917?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Ca̱ete, Pablo F.",57193665917,Author/57193665917
"[{'metricType': 'AcademicCorporateCollaboration', 'values': [{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 2.1276596}, {'collabType': 'No academic-corporate collaboration', 'value': 46, 'percentage': 97.87234}]}]",self,https://api.elsevier.com/analytics/scival/author/57219133163?apiKey=7f59af901d2d86f78a1fd60c1bf9426a&httpAccept=application/json,application/json,"Lee, Woeiming",57219133163,Author/57219133163
