metricType,values,author.id,author.name
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]",57220780331,"Hammill, Dillon J."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 39, 'percentage': 100.0}]",7004340228,"Arcos-Burgos, Mauricio"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 42, 'percentage': 100.0}]",23089970900,"Burgio, Gaétan"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]",57200367869,"Mathur, Anukriti"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 27, 'percentage': 100.0}]",6701775349,"Tscharke, David C."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 7, 'percentage': 100.0}]",55922501300,"Barratt, Kristen S."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 19, 'percentage': 100.0}]",6603720477,"Preiss, Thomas"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 5.263158}, {'collabType': 'No academic-corporate collaboration', 'value': 18, 'percentage': 94.73685}]",7004347903,"Easteal, Simon"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 4, 'percentage': 100.0}]",55091028800,"Ranjbar-Slamloo, Yadollah"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 5.882353}, {'collabType': 'No academic-corporate collaboration', 'value': 16, 'percentage': 94.117645}]",6505898040,"Coupland, Lucy A."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 19, 'percentage': 100.0}]",36952990000,"Jiang, Simon H.T."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 18, 'percentage': 100.0}]",6603095096,"Mastronardi, Claudio"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 2, 'percentage': 100.0}]",57204589377,"Cardinez, Chelisa"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 9.090909}, {'collabType': 'No academic-corporate collaboration', 'value': 10, 'percentage': 90.909096}]",57193665917,"Cañete, Pablo F."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 2.1276596}, {'collabType': 'No academic-corporate collaboration', 'value': 46, 'percentage': 97.87234}]",57219133163,"Lee, Woeiming"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]",57210424956,"Shen, Qian"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]",57660859000,"Zhang, Yaoyuan"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]",57201554907,"Miraghazadeh, Bahar"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 7.692308}, {'collabType': 'No academic-corporate collaboration', 'value': 12, 'percentage': 92.30769}]",57188653588,"Chu-Tan, Joshua A."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 11, 'percentage': 100.0}]",57215231660,"Li, Zheyi"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]",57185905900,"Lee, Conrad C.Y."
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 100.0}]",57215027600,"Dijkwel, Yasmin"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 0, 'percentage': 0.0}, {'collabType': 'No academic-corporate collaboration', 'value': 8, 'percentage': 100.0}]",37117221400,"Kordbacheh, Farzaneh"
AcademicCorporateCollaboration,"[{'collabType': 'Academic-corporate collaboration', 'value': 1, 'percentage': 25.0}, {'collabType': 'No academic-corporate collaboration', 'value': 3, 'percentage': 75.0}]",8934427100,"Sweet, Rebecca A."
